epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1.0836827754974365,0.910759687423706,0.628032922744751,0.6463499069213867
1,0.8513738512992859,0.8817423582077026,0.6402707695960999,0.6435890793800354
2,0.8472340703010559,0.8924504518508911,0.6392354369163513,0.6391823887825012
3,0.8452067375183105,0.8568312525749207,0.6399256587028503,0.6530395746231079
4,0.8421831727027893,0.9152217507362366,0.6417706608772278,0.6380143165588379
5,0.8397057056427002,0.8780636191368103,0.6414918899536133,0.6512343883514404
6,0.8348070383071899,0.8527926206588745,0.6420095562934875,0.6645606756210327
7,0.8332435488700867,0.868061900138855,0.6423280835151672,0.6484735608100891
8,0.8279988765716553,0.9032906889915466,0.6433103084564209,0.6370055675506592
9,0.8252514004707336,0.8582598567008972,0.6419697403907776,0.6495885252952576
10,0.7862792611122131,0.8063386678695679,0.6479293704032898,0.6584550142288208
11,0.7791564464569092,0.8003917336463928,0.6512609720230103,0.6562781929969788
12,0.7768672108650208,0.807805061340332,0.6508627533912659,0.6586142778396606
13,0.7739660739898682,0.8222135305404663,0.653052806854248,0.6525617241859436
14,0.7716519236564636,0.8147178888320923,0.652986466884613,0.6563313007354736
15,0.7480428218841553,0.7765858173370361,0.6602070331573486,0.6776745319366455
16,0.7352304458618164,0.7881439328193665,0.664454460144043,0.6787363886833191
17,0.7314643263816833,0.7921767234802246,0.6698168516159058,0.669604480266571
18,0.7179983258247375,0.7613914012908936,0.6726705431938171,0.6917971968650818
19,0.7046976685523987,0.7379705905914307,0.6858640909194946,0.7049641609191895
20,0.6840450763702393,0.7127737998962402,0.6996681690216064,0.7222723364830017
21,0.6629937887191772,0.7082725167274475,0.7132996916770935,0.7253517508506775
22,0.6453273892402649,0.6972640156745911,0.7205999493598938,0.7309795618057251
23,0.6401376724243164,0.7229127287864685,0.7238253355026245,0.7223254442214966
24,0.6293923258781433,0.6913143396377563,0.7283116579055786,0.7375099658966064
25,0.6216676235198975,0.6818463802337646,0.732585608959198,0.735598623752594
26,0.6149411201477051,0.6945553421974182,0.7354393601417542,0.7315104603767395
27,0.6134955286979675,0.6786404848098755,0.7380010485649109,0.7393150925636292
28,0.6052314639091492,0.6857215166091919,0.7429519295692444,0.7360233664512634
29,0.6036245226860046,0.6892920136451721,0.7430448532104492,0.7397398352622986
30,0.6032162308692932,0.6989026069641113,0.744704008102417,0.7378284931182861
31,0.5585896968841553,0.6809580326080322,0.7617732882499695,0.7422351837158203
32,0.548177182674408,0.6719518303871155,0.7648792266845703,0.7457923889160156
33,0.5405367016792297,0.6723746061325073,0.7681974768638611,0.7466949820518494
34,0.5376964211463928,0.6751991510391235,0.7694186568260193,0.7467480897903442
35,0.5339717268943787,0.6618302464485168,0.7714892625808716,0.7462702393531799
36,0.5274122953414917,0.6712082028388977,0.7730023860931396,0.7468011975288391
37,0.52542644739151,0.6704725623130798,0.7724449038505554,0.7482877373695374
38,0.5237979292869568,0.660872757434845,0.775749921798706,0.750836193561554
39,0.5184328556060791,0.6682443022727966,0.7770506739616394,0.7471728324890137
40,0.519525408744812,0.6641563773155212,0.7760552167892456,0.7528537511825562
41,0.5162188410758972,0.669984757900238,0.7760419249534607,0.7532253861427307
42,0.48978427052497864,0.6696426272392273,0.7900318503379822,0.7520042657852173
43,0.4855397641658783,0.6629765033721924,0.7907751798629761,0.755986213684082
44,0.480695903301239,0.6646049618721008,0.7934430837631226,0.755402147769928
45,0.4710484445095062,0.6703006029129028,0.7971595525741577,0.7550305128097534
46,0.4720202684402466,0.6697630286216736,0.7974117398262024,0.7542872428894043
47,0.46672889590263367,0.6636137366294861,0.7999469041824341,0.7576851844787598
48,0.46217450499534607,0.6640951037406921,0.8010751008987427,0.7579506039619446
